[2023-11-26T16:58:48.642] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/products, Metodo GET
[2023-11-27T14:28:57.289] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/products, Metodo GET
[2023-11-27T14:28:58.708] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/products, Metodo GET
[2023-11-27T14:32:17.342] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/products, Metodo GET
[2023-11-27T14:32:17.781] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/img/banner.png, Metodo GET
[2023-11-27T14:32:18.676] [WARN] warnArchive - Estado: 404, Ruta consultada: /css/style.css, Metodo GET
[2023-11-27T14:32:18.693] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/img/footer.png, Metodo GET
[2023-11-27T14:32:19.188] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:33:05.038] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/products, Metodo GET
[2023-11-27T14:33:05.697] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:33:18.142] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:33:26.575] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:42:14.569] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:42:28.364] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:42:34.181] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:43:04.220] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:43:12.127] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:43:25.126] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T14:45:12.912] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:03:24.094] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:06:53.833] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:07:10.968] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:16:16.729] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:16:30.912] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:16:46.738] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:16:57.609] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:17:32.561] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:17:49.201] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:18:01.560] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:18:45.908] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:18:51.447] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:18:59.343] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:19:26.020] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:21:46.646] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:21:47.614] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:23:10.196] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:23:27.079] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:23:35.537] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:24:33.738] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:24:39.387] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:26:22.754] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:26:54.933] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:27:31.654] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:27:45.111] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:27:48.347] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:27:54.587] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:27:56.870] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:28:04.374] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-11-27T15:28:10.870] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
